Immoweb code,Locality,Type of Property,Subtype of property,Price,Type of sale,No_of_rooms,area,Kitchen type,Furnished ,Fireplace ,Terrace,Garden,Facades,Swimming pool,Building condition
8948269,4430,House,House,"€169,000",for sale,3,250,Not installed,0,0,0,0,2,0,To restore
8948263,4684,House,House,"€674,000",for sale,5,510,Installed,0,0,0,0,4,0,As new
8948241,1070,House,House,"€349,000",for sale,4,144,USA installed,0,0,0,64,2,0,To be done up
8948240,4460,House,House,"€249,000",for sale,3,140,Hyper equipped,0,0,0,130,4,0,Just renovated
8948238,1150,House,House,"€399,000",for sale,3,130,0,0,0,0,80,3,0,0
8948237,3071,House,House,"€525,000",for sale,5,240,Installed,0,0,0,1800,4,0,Good
8871487,3500,House,House,"€370,000",for sale,2,170,0,0,0,0,0,3,0,0
8948227,6200,House,House,"€90,000",for sale,5,200,Installed,0,0,0,60,0,0,To renovate
8948226,2610,House,House,"€795,000",for sale,3,213,USA hyper equipped,0,0,0,0,2,0,As new
8836663,4032,House,House,"€135,000",for sale,3,100,0,0,0,0,0,2,0,Good
8850233,1950,House,House,"€500,000",for sale,4,160,Installed,0,0,0,260,3,0,Good
8819170,9000,House,House,"€249,000",for sale,4,150,0,0,0,0,0,0,0,To renovate
8948222,3001,House,House,"€379,000",for sale,3,140,Installed,0,0,0,0,0,0,0
8824414,2150,House,House,"€310,000",for sale,3,153,USA hyper equipped,0,0,0,0,0,0,As new
8948214,8340,House,House,"€795,000",for sale,3,262,Installed,0,0,0,0,0,0,0
8898188,1654,House,House,"€299,000",for sale,3,220,Installed,0,0,0,110,3,0,To renovate
8898187,1652,House,House,"€299,000",for sale,3,220,Installed,0,0,0,110,3,0,To renovate
8895725,1653,House,House,"€299,000",for sale,3,220,Installed,0,0,0,110,3,0,To renovate
8948203,4163,House,House,"€385,000",for sale,3,185,Installed,0,0,0,0,3,0,Good
8948196,9190,House,House,"€285,000",for sale,3,125,USA hyper equipped,0,0,0,0,3,0,Good
8948169,2250,House,House,"€379,000",for sale,4,220,Hyper equipped,0,0,0,0,4,0,Good
8948165,2200,House,House,"€269,000",for sale,4,179,Installed,0,0,0,0,0,0,To be done up
8948164,2260,House,House,"€170,000",for sale,2,100,Semi equipped,0,0,0,0,0,0,To renovate
8948163,2290,House,House,"€230,000",for sale,1,91,Installed,0,0,0,0,2,0,Good
8948162,2260,House,House,"€265,000",for sale,3,159,Installed,0,0,0,0,3,0,Good
8948159,4020,House,House,"€274,000",for sale,4,160,Installed,0,0,0,0,0,0,0
8948158,4100,House,House,"€159,000",for sale,4,0,Installed,0,0,0,0,2,0,To be done up
8948150,2300,House,House,"€210,000",for sale,3,150,Semi equipped,0,0,0,0,0,0,Good
8948147,1420,House,House,"€350,000",for sale,6,385,Not installed,0,0,0,250,4,0,To renovate
8948143,9200,House,House,"€149,000",for sale,3,140,0,0,0,0,Yes,0,0,To renovate
8948138,9450,House,House,"€449,000",for sale,3,225,USA hyper equipped,0,0,0,0,2,0,As new
8948137,9420,House,House,"€182,000",for sale,3,165,Not installed,0,0,0,0,3,0,To renovate
8948136,9550,House,House,"€229,000",for sale,3,227,Not installed,0,0,0,0,3,0,To renovate
8865251,9340,House,House,"€175,000",for sale,4,180,0,0,0,0,0,0,0,To renovate
8948134,2950,House,House,"€355,000",for sale,4,169,Hyper equipped,0,0,0,0,2,0,As new
8948110,1650,House,House,"€329,000",for sale,3,120,0,0,0,0,0,2,0,0
8948106,8760,House,House,"€849,000",for sale,5,256,0,0,0,0,0,0,0,0
8948103,1501,House,House,"€550,000",for sale,3,308,Not installed,0,0,0,0,4,0,0
8948100,9190,House,House,"€286,000",for sale,2,198,Semi equipped,0,0,0,0,3,0,Good
7863782,5630,House,House,"€245,000",for sale,6,1121,0,0,0,0,0,3,0,Good
8644884,1350,House,House,"€99,000",for sale,2,70,0,0,0,0,Yes,3,0,To restore
8948062,9040,House,House,"€495,000",for sale,4,203,Installed,0,0,0,40,0,0,0
8948045,3600,House,House,"€265,000",for sale,4,0,Installed,0,0,0,Yes,3,0,Good
8871246,3200,House,House,"€219,000",for sale,3,0,Installed,0,0,0,0,0,0,To be done up
8948040,1745,House,House,"€349,000",for sale,3,205,0,0,0,0,0,0,0,To renovate
8948037,3018,House,House,"€345,000",for sale,5,210,Installed,0,0,0,65,2,0,Good
8948031,1601,House,House,"€339,000",for sale,3,135,Hyper equipped,0,0,0,0,0,0,0
8766101,8520,House,House,"€223,500",for sale,4,0,0,0,0,0,0,0,0,To renovate
8948028,8760,House,House,"€162,500",for sale,3,0,Installed,0,0,0,Yes,0,0,0
8948019,2140,House,House,"€329,900",for sale,4,155,Installed,0,0,0,0,0,0,Good
8948014,2060,House,House,"€249,000",for sale,2,114,Installed,0,0,0,8,2,0,0
8948010,8900,House,House,"€235,000",for sale,3,0,0,0,0,0,0,0,0,0
8948009,7750,House,House,"€140,000",for sale,2,0,0,0,0,0,Yes,0,0,To be done up
8948008,7750,House,House,"€140,000",for sale,2,0,0,0,0,0,Yes,0,0,To be done up
8948007,2490,House,House,"€225,000",for sale,3,0,0,0,0,0,Yes,0,0,Good
8948005,8340,House,House,,for sale,4,212,0,0,0,0,0,0,0,0
8948004,2800,House,House,"€325,000",for sale,4,118,Installed,0,0,0,53,0,0,As new
8948003,9940,House,House,"€320,000",for sale,3,133,Installed,0,0,0,0,0,0,0
8947990,3640,House,House,"€226,140",for sale,3,138,Not installed,0,0,0,0,0,0,0
8947985,8700,House,House,"€189,000",for sale,2,153,Installed,0,0,0,Yes,0,0,0
8947984,8480,House,House,"€230,000",for sale,3,129,Hyper equipped,0,0,0,Yes,0,0,0
8947983,8020,House,House,"€270,000",for sale,4,152,Hyper equipped,0,0,0,Yes,0,0,0
8947959,4987,House,House,"€305,000",for sale,6,250,Installed,0,0,24,1000,3,0,Good
8947975,8490,House,House,"€625,000",for sale,5,584,0,0,0,0,0,0,0,To renovate
8947974,7730,House,House,"€279,000",for sale,5,175,Installed,0,0,0,Yes,0,0,0
8947972,9630,House,House,"€215,000",for sale,3,0,0,0,0,0,0,0,0,To be done up
8947971,8930,House,House,"€185,000",for sale,2,114,0,0,0,0,0,0,0,0
8947966,8500,House,House,"€285,000",for sale,4,161,Hyper equipped,0,0,0,Yes,0,0,0
8947964,8020,House,House,"€235,000",for sale,4,175,0,0,0,0,Yes,0,0,To renovate
8947954,1601,House,House,"€279,000",for sale,2,105,Semi equipped,0,0,0,Yes,0,0,Good
8947953,9120,House,House,"€389,000",for sale,4,200,Installed,0,0,0,650,0,0,As new
8947948,3600,House,House,"€349,000",for sale,7,220,Installed,0,0,0,0,0,0,As new
8947936,9700,House,House,"€285,000",for sale,4,160,0,0,0,0,0,0,0,0
8947911,9450,House,House,"€298,500",for sale,3,140,0,0,0,0,Yes,0,0,To be done up
8947910,8300,House,House,"€1,385,000",for sale,4,188,USA hyper equipped,0,0,0,Yes,0,0,0
8947903,8930,House,House,"€185,000",for sale,4,0,0,0,0,0,Yes,0,0,0
8947900,1770,House,House,"€329,000",for sale,4,185,Installed,0,0,0,0,0,0,As new
8947892,2400,House,House,"€170,000",for sale,3,125,Installed,0,0,0,0,2,0,0
8891905,8200,House,House,"€299,000",for sale,4,186,Installed,0,0,0,0,0,0,0
8947891,9860,House,House,"€369,000",for sale,4,329,0,0,0,0,276,2,0,To be done up
8772654,8434,House,House,"€120,000",for sale,1,60,0,0,0,0,55,0,0,0
8947866,2590,House,House,"€265,000",for sale,3,220,Installed,0,0,0,Yes,3,0,Good
8947862,9820,House,House,"€475,000",for sale,3,138,0,0,0,0,200,0,0,0
8947861,9820,House,House,"€398,000",for sale,3,136,0,0,0,0,250,0,0,0
8947855,2811,House,House,"€325,000",for sale,5,306,0,0,0,0,0,0,0,To be done up
8947854,8810,House,House,"€560,000",for sale,2,0,0,0,0,0,0,0,0,As new
8947853,8800,House,House,"€225,000",for sale,3,110,0,0,0,0,Yes,0,0,0
8947846,8792,House,House,"€235,000",for sale,4,216,Installed,0,0,0,Yes,0,0,0
8947842,9300,House,House,"€229,000",for sale,3,0,0,0,0,0,Yes,0,0,0
8947838,9473,House,House,"€340,000",for sale,3,0,0,0,0,0,Yes,0,0,As new
8947833,9940,House,House,"€364,500",for sale,3,175,Installed,0,0,0,Yes,4,0,As new
8947821,8870,House,House,"€117,500",for sale,2,0,0,0,0,0,0,0,0,0
8947820,9200,House,House,"€265,000",for sale,2,0,0,0,0,0,0,0,0,0
8947812,1840,House,House,"€374,000",for sale,3,180,Hyper equipped,0,0,30,50,2,0,As new
8947819,9200,House,House,"€265,000",for sale,2,0,0,0,0,0,0,0,0,0
8947817,9160,House,House,"€335,000",for sale,2,0,0,0,0,0,0,0,0,0
8947816,9160,House,House,"€429,000",for sale,3,0,0,0,0,0,0,0,0,0
8947814,8800,House,House,"€499,937",for sale,4,0,0,0,0,0,0,0,0,0
8947801,9200,House,House,"€289,000",for sale,4,227,0,0,0,30,165,0,0,Just renovated
8947799,9120,House,House,"€269,000",for sale,2,180,0,0,0,0,0,0,0,Just renovated
8947797,9111,House,House,"€349,000",for sale,5,230,0,0,0,0,0,0,0,To be done up
8947795,9200,House,House,"€260,000",for sale,3,0,0,0,0,0,Yes,0,0,As new
8947793,9290,House,House,"€499,000",for sale,7,300,0,0,0,0,0,0,0,0
8947782,3300,House,House,"€320,000",for sale,4,212,Installed,0,0,26,Yes,3,0,Good
8947770,1700,House,House,"€379,000",for sale,3,162,Installed,0,0,0,368,3,0,0
8947769,3200,House,House,"€289,000",for sale,4,241,Semi equipped,0,0,0,Yes,4,0,To renovate
8947718,9100,House,House,"€369,000",for sale,4,206,Installed,0,0,23,460,2,0,Good
8947754,9700,House,House,"€546,000",for sale,4,0,0,0,0,0,0,0,0,0
8947743,1950,House,House,"€595,000",for sale,2,90,Not installed,0,0,11,417,3,0,To renovate
8947731,4100,House,House,"€179,000",for sale,3,95,Hyper equipped,0,0,0,0,0,0,Just renovated
8947730,5377,House,House,"€110,000",for sale,3,140,Not installed,0,0,0,0,2,0,To renovate
8947728,8560,House,House,"€115,000",for sale,3,0,Semi equipped,0,0,0,0,0,0,To renovate
8947720,4420,House,House,"€159,500",for sale,3,123,0,0,0,0,80,0,0,0
8947642,3001,House,House,"€410,000",for sale,4,0,Installed,0,0,0,Yes,3,0,As new
8661877,2100,House,House,"€247,000",for sale,2,114,0,0,0,0,7,0,0,0
8727218,1020,House,House,"€279,000",for sale,1,195,Semi equipped,0,0,0,0,0,0,Good
8947712,7730,House,House,"€169,000",for sale,3,90,Semi equipped,0,0,0,Yes,3,0,To renovate
8947704,7000,House,House,"€220,000",for sale,2,190,0,0,0,0,0,0,0,Good
8947709,3000,House,House,"€475,000",for sale,3,148,Installed,0,0,0,Yes,0,0,Good
8947708,9170,House,House,"€199,000",for sale,2,146,Installed,0,0,0,300,2,0,To renovate
8719673,2380,House,House,"€212,000",for sale,3,160,Installed,0,0,0,0,2,0,Good
8790174,2880,House,House,"€249,000",for sale,3,105,Hyper equipped,0,0,0,0,0,0,As new
8947689,9290,House,House,"€275,000",for sale,3,210,Installed,0,0,0,Yes,0,0,Good
8947686,2960,House,House,"€349,000",for sale,3,182,Installed,0,0,0,0,3,0,Good
8947685,9890,House,House,"€325,000",for sale,3,128,0,0,0,0,Yes,4,0,Good
8947684,9890,House,House,"€395,000",for sale,3,175,0,0,0,0,Yes,0,0,Good
8947671,3640,House,House,"€525,000",for sale,4,325,Installed,0,0,0,Yes,4,0,0
8947670,1852,House,House,"€385,000",for sale,3,0,Installed,0,0,0,255,3,0,0
8947669,3300,House,House,"€370,000",for sale,3,130,Installed,0,0,0,385,4,0,Good
8947668,8200,House,House,"€369,000",for sale,6,369,Installed,0,0,0,0,3,0,To be done up
8828991,3190,House,House,"€380,000",for sale,4,185,Installed,0,0,0,Yes,4,0,Good
8947663,2850,House,House,"€179,000",for sale,2,0,Semi equipped,0,0,0,0,0,0,Good
8947661,3700,House,House,"€170,000",for sale,2,97,0,0,0,0,0,0,0,0
8922468,9870,House,House,"€448,000",for sale,3,0,Installed,0,0,0,0,4,0,As new
8947653,9930,House,House,"€248,500",for sale,4,0,Semi equipped,0,0,0,0,4,0,To be done up
8947652,2020,House,House,"€275,000",for sale,2,123,0,0,0,0,0,0,0,As new
8947602,9000,House,House,"€369,000",for sale,3,146,Installed,0,0,0,0,0,0,Just renovated
8947633,9100,House,House,"€179,000",for sale,2,103,Installed,0,0,0,Yes,0,0,0
8947631,9060,House,House,"€179,000",for sale,3,146,0,0,0,0,0,0,0,Good
8947607,9880,House,House,"€349,000",for sale,2,107,0,0,0,0,0,0,0,Good
8739079,9900,House,House,"€279,000",for sale,3,131,0,0,0,0,0,0,0,Good
8947604,3271,House,House,"€210,000",for sale,4,170,Installed,0,0,0,0,2,0,Good
8947601,8400,House,House,"€299,500",for sale,5,201,Not installed,0,0,0,0,2,0,To renovate
8947597,9032,House,House,"€266,000",for sale,3,84,Installed,0,0,0,0,0,0,0
8947593,7500,House,House,"€159,000",for sale,3,0,0,0,0,0,Yes,0,0,0
8947583,4540,House,House,"€285,000",for sale,3,0,0,0,0,0,0,4,0,To be done up
8947564,2880,House,House,"€349,000",for sale,3,0,Installed,0,0,0,0,0,0,Good
8817314,3010,House,House,"€310,000",for sale,2,147,Not installed,0,0,0,Yes,0,0,To renovate
8947537,9750,House,House,"€315,000",for sale,3,170,0,0,0,80,370,3,0,Good
8947545,6060,House,House,"€145,000",for sale,2,0,0,0,0,0,0,0,0,0
8947543,4102,House,House,"€99,000",for sale,2,80,Not installed,0,0,0,0,2,0,To be done up
8947525,3128,House,House,"€280,000",for sale,2,0,Semi equipped,0,0,0,0,4,0,To renovate
8947533,6001,House,House,"€162,500",for sale,2,0,Hyper equipped,0,0,Yes,Yes,2,0,As new
8850857,4000,House,House,"€267,000",for sale,4,184,Installed,0,0,0,360,2,0,Just renovated
8947520,3130,House,House,"Reserve price : €260,000",for sale,3,0,0,0,0,0,0,0,0,0
8947519,8904,House,House,"€215,000",for sale,3,0,Installed,0,0,0,0,3,0,0
8947503,2450,House,House,"€359,000",for sale,4,178,Installed,0,0,Yes,Yes,0,0,0
8947511,4280,House,House,"€199,000",for sale,3,130,0,0,0,0,Yes,0,0,As new
8947506,1160,House,House,"€785,000",for sale,5,230,USA installed,0,0,20,150,0,0,Good
8947500,4400,House,House,"€195,000",for sale,2,120,Hyper equipped,0,0,Yes,Yes,3,0,Just renovated
8947493,3020,House,House,"Reserve price : €180,000",for sale,3,0,0,0,0,0,0,0,0,0
8825488,1030,House,House,"€500,000",for sale,6,240,Hyper equipped,0,0,0,60,0,0,Just renovated
8947492,9160,House,House,"€279,000",for sale,2,150,Hyper equipped,0,0,20,0,0,0,0
8947444,9620,House,House,"€399,000",for sale,3,0,Installed,0,0,Yes,Yes,4,0,As new
8947468,1000,House,House,"€449,000",for sale,4,0,0,0,0,0,0,0,0,0
8947451,6900,House,House,"€199,000",for sale,3,156,0,0,0,0,Yes,0,0,0
8947427,1083,House,House,"€395,000",for sale,4,0,Semi equipped,0,0,0,0,0,0,To be done up
8875907,6920,House,House,"€246,000",for sale,3,140,0,0,0,0,0,0,0,0
8947426,7110,House,House,"€159,000",for sale,2,125,0,0,0,0,0,3,0,Just renovated
8947412,8560,House,House,"€275,000",for sale,3,142,Installed,0,0,Yes,Yes,3,0,Good
8947415,4800,House,House,"€184,500",for sale,7,217,Not installed,0,0,0,0,0,0,To renovate
8947406,7864,House,House,"€75,000",for sale,2,0,Not installed,0,0,0,0,4,0,To renovate
8947401,7620,House,House,"€145,000",for sale,3,215,Installed,0,0,0,0,0,0,0
8702260,7500,House,House,"€95,000",for sale,3,100,Installed,0,0,0,0,0,0,0
8947391,7800,House,House,"€60,000",for sale,2,93,Installed,0,0,0,0,0,0,To renovate
8868018,7830,House,House,"€360,000",for sale,4,200,Installed,0,0,0,700,4,0,As new
8947389,7811,House,House,"€60,000",for sale,2,93,Installed,0,0,0,0,0,0,To renovate
8947382,5000,House,House,"€350,000",for sale,4,139,USA hyper equipped,0,0,0,0,0,0,Just renovated
8875109,6140,House,House,"€250,000",for sale,4,175,Semi equipped,0,0,0,0,3,0,As new
8878734,1640,House,House,"€698,000",for sale,4,355,Installed,0,0,0,0,2,0,As new
8947360,4690,House,House,"€140,000",for sale,2,90,Semi equipped,0,0,0,30,3,0,To renovate
8947359,1200,House,House,"€665,000",for sale,6,285,Hyper equipped,0,0,0,0,2,0,Good
8833298,8880,House,House,"€180,000",for sale,4,160,0,0,0,0,0,2,0,0
8947357,8570,House,House,"€259,000",for sale,3,0,0,0,0,0,0,2,0,0
8947348,6001,House,House,"€240,000",for sale,3,125,Hyper equipped,0,0,32,Yes,4,0,Good
8947351,7500,House,House,"€150,000",for sale,2,0,0,0,0,0,0,0,0,Good
8947350,2290,House,House,"Reserve price : €115,000",for sale,1,0,0,0,0,0,0,0,0,0
8947331,7700,House,House,"€59,000",for sale,2,0,0,0,0,0,0,0,0,0
8902519,9500,House,House,"€230,000",for sale,3,250,0,0,0,0,0,3,0,Good
8897012,9470,House,House,"€315,000",for sale,3,230,0,0,0,0,0,3,0,Good
8947328,3370,House,House,"Reserve price : €198,800",for sale,2,0,Installed,0,0,0,0,3,0,0
8947327,3201,House,House,"Reserve price : €235,000",for sale,3,0,0,0,0,0,0,4,0,0
8947325,6790,House,House,"€650,000",for sale,5,205,Installed,0,0,0,0,4,0,0
8947319,1070,House,House,"€360,000",for sale,6,0,Installed,0,0,0,0,0,0,Good
8947306,1640,House,House,"€2,295,000",for sale,4,408,USA hyper equipped,0,0,0,0,4,0,0
8947302,7012,House,House,"€40,000",for sale,2,0,0,0,0,0,0,0,0,0
8947300,2440,House,House,"Reserve price : €165,000",for sale,3,0,0,0,0,0,0,3,0,0
8947297,2275,House,House,"€275,000",for sale,4,0,0,0,0,0,0,0,0,0
8947296,6200,House,House,"€250,000",for sale,4,182,Installed,0,0,0,0,0,0,0
8947295,5650,House,House,"€190,000",for sale,5,186,Installed,0,0,0,0,0,0,0
8947285,4420,House,House,"€207,000",for sale,3,135,Installed,0,0,20,110,2,0,Just renovated
8947282,9050,House,House,"€305,000",for sale,3,155,Installed,0,0,12,0,3,0,0
8947286,6040,House,House,"€90,000",for sale,3,0,0,0,0,0,0,2,0,To be done up
8918161,2580,House,House,"Reserve price : €195,000",for sale,3,0,0,0,0,0,0,4,0,0
8947259,6030,House,House,"€130,000",for sale,3,95,0,0,0,0,0,0,0,0
8947250,5537,House,House,"€268,500",for sale,2,130,0,0,0,0,0,4,0,Good
8828588,3300,House,House,"€259,000",for sale,4,210,Semi equipped,0,0,0,0,0,0,Good
8947230,1430,House,House,"€310,000",for sale,3,175,Installed,0,0,0,0,2,0,Good
8947092,7370,House,House,"€125,000",for sale,4,0,Installed,0,0,0,0,3,0,Good
8894386,4420,House,House,"€165,000",for sale,3,140,Installed,0,0,0,70,0,0,Good
8947219,2340,House,House,"€399,000",for sale,4,172,Installed,0,0,0,0,0,0,0
8947214,9040,House,House,"€349,000",for sale,4,193,Installed,0,0,14,Yes,0,0,To be done up
8947218,3440,House,House,"€256,000",for sale,4,205,Installed,0,0,0,0,0,0,0
8947209,5300,House,House,"€235,000",for sale,4,120,Installed,0,0,Yes,Yes,0,0,0
8910404,2850,House,House,"€179,000",for sale,3,0,Installed,0,0,0,0,0,0,0
8793406,7130,House,House,"€99,000",for sale,4,125,Installed,0,0,0,0,2,0,To be done up
8947197,4280,House,House,"€295,000",for sale,4,166,Installed,0,0,0,0,0,0,As new
8947193,1435,House,House,"€175,000",for sale,4,176,Installed,0,0,20,Yes,0,0,To renovate
8947189,4530,House,House,"€279,000",for sale,4,160,Semi equipped,0,0,0,977,4,0,As new
8947164,6040,House,House,"€85,000",for sale,2,85,0,0,0,0,0,0,0,To be done up
8947156,9140,House,House,"Reserve price : €375,000",for sale,5,0,0,0,0,0,0,3,0,0
8947154,1495,House,House,"€495,000",for sale,5,245,Installed,0,0,65,1000,3,0,Good
8947140,2560,House,House,"€425,000",for sale,3,175,Hyper equipped,0,0,0,Yes,0,0,As new
8947145,5031,House,House,"€295,000",for sale,4,350,Not installed,0,0,0,930,4,0,To restore
8947141,6887,House,House,"€350,000",for sale,1,0,0,0,0,0,0,0,0,To be done up
8947139,9820,House,House,"Reserve price : €130,000",for sale,3,0,Installed,0,0,0,0,0,0,0
8947130,1180,House,House,"€1,395,000",for sale,6,525,Installed,0,0,0,0,1,0,0
8947121,8020,House,House,"€308,000",for sale,3,0,Installed,0,0,0,Yes,0,0,0
8947121,8020,House,House,"€308,000",for sale,3,0,Installed,0,0,0,Yes,0,0,0
8947117,8501,House,House,"€155,000",for sale,2,0,Installed,0,0,0,0,0,0,0
8928361,7340,House,House,"€250,000",for sale,3,0,Installed,0,0,0,0,0,0,0
8947109,9220,House,House,"Reserve price : €230,000",for sale,3,0,0,0,0,0,0,2,0,0
8947108,3294,House,House,"Reserve price : €135,000",for sale,3,0,0,0,0,0,0,4,0,To renovate
8947106,6500,House,House,"€85,000",for sale,1,0,0,0,0,0,0,0,0,0
8947105,8470,House,House,"Reserve price : €142,000",for sale,3,0,Installed,0,0,0,0,3,0,To renovate
8947091,1350,House,House,"€325,000",for sale,3,145,Installed,0,0,0,500,3,0,Just renovated
8947088,9270,House,House,"€595,000",for sale,3,251,Installed,0,0,0,0,0,0,As new
8946487,3321,House,House,"€285,000",for sale,2,168,Hyper equipped,0,0,0,100,0,0,0
8947076,8930,House,House,"€149,000",for sale,2,110,Installed,0,0,0,0,0,0,0
8859122,6950,House,House,"€387,000",for sale,4,368,Installed,0,0,0,Yes,4,0,Just renovated
8947062,8680,House,House,"€180,000",for sale,4,0,0,0,0,0,0,0,0,0
8947056,9000,House,House,"€485,000",for sale,5,224,Installed,0,0,0,Yes,3,0,Just renovated
8947055,7340,House,House,"€199,500",for sale,3,160,0,0,0,0,0,4,0,To be done up
8947053,4430,House,House,"€199,000",for sale,2,0,0,0,0,0,Yes,2,0,0
8947032,2000,House,House,"€175,000",for sale,1,40,0,0,0,0,0,0,0,As new
8947048,7012,House,House,"€115,000",for sale,3,120,Installed,0,0,0,0,0,0,Just renovated
8947041,2850,House,House,"€295,000",for sale,3,155,Hyper equipped,0,0,0,71,0,0,As new
8947040,2850,House,House,"€299,000",for sale,3,162,Hyper equipped,0,0,0,0,0,0,Good
8947031,2140,House,House,"€399,000",for sale,3,169,Hyper equipped,0,0,16,0,2,0,Just renovated
8947025,9930,House,House,"Reserve price : €300,000",for sale,3,0,0,0,0,0,0,0,0,0
8947024,8930,House,House,"€278,000",for sale,3,159,0,0,0,0,Yes,2,0,Good
8947023,1547,House,House,"€387,380",for sale,3,0,Hyper equipped,0,0,0,0,0,0,0
8947016,4000,House,House,"€225,000",for sale,4,136,Hyper equipped,0,0,20,0,0,0,Just renovated
8947015,6040,House,House,"€107,000",for sale,2,94,0,0,0,0,0,3,0,0
8947009,8210,House,House,"€445,000",for sale,2,211,Hyper equipped,0,0,0,0,0,0,0
8947002,8020,House,House,"€375,000",for sale,3,195,Semi equipped,0,0,0,Yes,0,0,0
8946993,1150,House,House,"€915,000",for sale,3,190,0,0,0,0,300,0,0,0
8946992,8400,House,House,"€259,000",for sale,3,0,Installed,0,0,0,0,2,0,Just renovated
8724226,4020,House,House,"€90,000",for sale,2,0,0,0,0,0,0,2,0,To renovate
8946983,2640,House,House,"€359,000",for sale,4,0,Installed,0,0,0,0,0,0,Just renovated
8946972,2530,House,House,"€1,195,000",for sale,7,330,Hyper equipped,0,0,Yes,Yes,4,0,0
8946982,3210,House,House,"€338,500",for sale,3,160,Installed,0,0,0,0,0,0,Good
8946980,8380,House,House,"€199,000",for sale,3,135,0,0,0,0,0,2,0,0
8946979,8000,House,House,"€220,000",for sale,2,80,Installed,0,0,0,0,0,0,Just renovated
8946957,3740,House,House,"€695,000",for sale,5,432,Installed,0,0,0,1392,4,0,Good
8933315,6010,House,House,"€389,000",for sale,7,450,Installed,0,0,50,3600,3,0,Good
8946950,8800,House,House,"€456,500",for sale,3,0,Hyper equipped,0,0,0,0,0,0,As new
8871824,7700,House,House,"€239,000",for sale,3,136,Installed,0,0,0,Yes,3,0,Good
8902341,6536,House,House,"€200,000",for sale,3,244,0,0,0,0,0,3,0,Good
8946927,5003,House,House,"€600,000",for sale,5,270,Installed,0,0,0,0,3,0,0
8946914,9500,House,House,"€400,700",for sale,3,0,Hyper equipped,0,0,0,0,0,0,0
8946905,9120,House,House,"€285,000",for sale,3,200,Not installed,0,0,0,Yes,2,0,0
8562215,6460,House,House,"€159,000",for sale,5,0,Semi equipped,0,0,0,0,2,0,To renovate
8946873,4252,House,House,"€167,500",for sale,2,0,0,0,0,0,0,0,0,0
8946866,5060,House,House,"€265,000",for sale,2,0,0,0,0,0,0,0,0,0
8733461,8660,House,House,"€330,000",for sale,2,117,Installed,0,0,0,0,0,0,Good
8946858,2660,House,House,"€245,000",for sale,3,150,Semi equipped,0,0,0,52,0,0,To renovate
8946832,4000,House,House,"€205,000",for sale,3,116,Installed,0,0,0,0,0,0,Good
8946841,4000,House,House,"€180,000",for sale,3,160,Installed,0,0,0,50,0,0,0
8732442,6666,House,House,"€225,000",for sale,7,392,0,0,0,0,0,0,0,0
8946836,3040,House,House,"Reserve price : €230,000",for sale,3,0,0,0,0,0,0,0,0,0
8946834,1030,House,House,"€539,000",for sale,4,240,Installed,0,0,0,0,0,0,0
8946828,4570,House,House,"€110,000",for sale,1,78,0,0,0,0,0,0,0,0
8922151,1495,House,House,"€350,000",for sale,4,180,Installed,0,0,25,40000,0,0,0
8946830,9500,House,House,"€95,000",for sale,3,130,Semi equipped,0,0,0,Yes,0,0,0
8946823,6890,House,House,"€169,000",for sale,2,118,Installed,0,0,0,0,2,0,Good
8946778,5540,House,House,"€50,000",for sale,2,47,Semi equipped,0,0,0,0,4,0,0
8946822,1170,House,House,"€615,000",for sale,3,165,Hyper equipped,0,0,0,48,2,0,As new
8946819,9000,House,House,"€319,000",for sale,3,130,0,0,0,0,0,0,0,As new
8946817,7032,House,House,"€650,000",for sale,5,340,Hyper equipped,0,0,0,0,4,0,Good
8946814,3650,House,House,"€340,000",for sale,4,437,Installed,0,0,0,Yes,3,0,Good
8946811,9000,House,House,"€535,000",for sale,4,253,Installed,0,0,0,Yes,0,0,Good
8946786,4630,House,House,"€389,000",for sale,3,278,Installed,0,0,120,600,4,0,As new
8946801,2340,House,House,"€425,000",for sale,2,260,Installed,0,0,0,Yes,4,0,0
8946798,8200,House,House,"€354,000",for sale,4,186,Installed,0,0,0,Yes,0,0,Good
8946777,8870,House,House,"€245,000",for sale,3,181,Installed,0,0,Yes,100,0,0,Just renovated
8946796,9070,House,House,"€209,000",for sale,2,92,Installed,0,0,0,0,0,0,Good
8946792,8370,House,House,"€250,000",for sale,6,292,0,0,0,0,Yes,0,0,Good
8946784,7130,House,House,"€110,000",for sale,2,0,Installed,0,0,0,0,3,0,Good
8946781,8210,House,House,"€299,000",for sale,3,161,Installed,0,0,Yes,1,0,0,0
8946780,6240,House,House,"€165,000",for sale,3,167,0,0,0,0,0,0,0,Good
8946773,8870,House,House,"€329,000",for sale,3,180,Installed,0,0,0,220,0,0,As new
8946769,7390,House,House,"€199,000",for sale,3,214,Installed,0,0,0,1000,4,0,Good
8946768,6500,House,House,"€390,000",for sale,6,331,Not installed,0,0,0,Yes,4,0,0
8946767,1420,House,House,"€425,000",for sale,4,220,Semi equipped,0,0,0,600,2,0,To be done up
8946752,4840,House,House,"€259,000",for sale,3,150,0,0,0,0,0,4,0,To be done up
8902027,7134,House,House,"€96,500",for sale,2,0,0,0,0,0,0,2,0,0
8946750,1970,House,House,"€580,000",for sale,2,140,Installed,0,0,0,400,4,0,Good
