Immoweb code,Locality,Type of Property,Subtype of property,Price,Type of sale,No_of_rooms,area,Kitchen type,Furnished ,Fireplace ,Terrace,Garden,Facades,Swimming pool,Building condition
8954474,3350,House,House,"€240,000",for sale,2,117,0,0,0,0,0,4,0,Good
8883229,8790,House,House,"€230,000",for sale,3,120,0,0,0,0,0,3,0,Good
8954463,9700,House,House,"€200,000",for sale,2,168,0,0,0,0,Yes,0,0,0
8738100,1601,House,House,"€199,000",for sale,3,0,Installed,0,0,0,0,0,0,0
8954461,4170,House,House,"€195,000",for sale,3,180,0,0,0,0,0,2,0,Good
8882056,8710,House,House,"€200,000",for sale,4,0,0,0,0,0,Yes,0,0,0
8954445,3470,House,House,"€60,000",for sale,2,0,0,0,0,0,0,0,0,To renovate
8954440,9280,House,House,"€189,000",for sale,1,150,0,0,0,0,0,0,0,0
8954430,8800,House,House,"€275,000",for sale,3,170,0,0,0,0,Yes,0,0,0
8954427,2547,House,House,"€364,900",for sale,5,170,Installed,0,0,0,170,3,0,To renovate
8954425,9820,House,House,"€398,000",for sale,3,123,0,0,0,0,Yes,0,0,0
8954410,9200,House,House,"€415,000",for sale,4,160,Hyper equipped,0,0,0,0,0,0,0
8954408,9200,House,House,"€339,000",for sale,3,150,0,0,0,0,0,0,0,0
8954407,9280,House,House,"€270,000",for sale,3,190,Hyper equipped,0,0,0,Yes,0,0,As new
8954395,8810,House,House,"€225,000",for sale,4,0,0,0,0,0,Yes,0,0,To renovate
8954389,8810,House,House,"€388,000",for sale,4,188,Installed,0,0,0,300,3,0,As new
8954387,7711,House,House,"€399,000",for sale,4,0,Installed,0,0,0,Yes,0,0,0
8954385,7712,House,House,"€265,000",for sale,3,0,Installed,0,0,0,60,0,0,0
8954382,9470,House,House,"€235,000",for sale,2,0,0,0,0,0,0,0,0,0
8954377,9040,House,House,"€440,000",for sale,3,205,0,0,0,0,0,0,0,As new
8853261,2100,House,House,"€239,000",for sale,3,87,Installed,0,0,0,0,0,0,0
8927259,9506,House,House,"€267,144",for sale,3,0,0,0,0,0,Yes,0,0,0
8927257,9506,House,House,"€267,144",for sale,3,0,0,0,0,0,Yes,0,0,0
8954374,9700,House,House,"€325,000",for sale,3,160,0,0,0,0,0,0,0,0
8954369,3890,House,House,"€349,000",for sale,3,170,Installed,0,0,0,1000,4,0,0
8954366,3870,House,House,"€215,000",for sale,4,157,Installed,0,0,0,Yes,2,0,0
8954364,8370,House,House,"€249,000",for sale,3,155,0,0,0,0,Yes,0,0,0
8954363,2200,House,House,"€220,000",for sale,2,0,Semi equipped,0,0,0,Yes,3,0,0
8954360,9000,House,House,"€520,000",for sale,4,279,0,0,0,0,20,0,0,0
8954356,3460,House,House,"€359,000",for sale,4,220,Installed,0,0,0,Yes,4,0,As new
8954347,3370,House,House,"€330,000",for sale,3,194,Installed,0,0,0,0,2,0,Good
8954339,9190,House,House,"€149,000",for sale,2,0,0,0,0,0,0,0,0,0
8912136,9170,House,House,"€279,000",for sale,5,0,0,0,0,0,500,0,0,0
8725219,8840,House,House,"€195,000",for sale,4,332,0,0,0,0,Yes,0,0,To renovate
8954337,8650,House,House,"€195,000",for sale,1,232,0,0,0,0,Yes,0,0,0
8954304,3580,House,House,"€149,000",for sale,4,165,0,0,0,0,Yes,3,0,0
8954301,1730,House,House,"€519,000",for sale,3,196,Installed,0,0,0,0,0,0,0
8954300,9000,House,House,"€495,000",for sale,3,168,0,0,0,0,0,0,0,0
8954296,9660,House,House,"€295,000",for sale,2,160,Installed,0,0,0,Yes,0,0,0
8954294,8300,House,House,"€1,195,000",for sale,4,308,0,0,0,0,Yes,0,0,As new
8890182,9310,House,House,"€199,000",for sale,3,140,Installed,0,0,0,0,0,0,Just renovated
8954290,9000,House,House,"€290,000",for sale,3,136,Installed,0,0,0,0,0,0,To be done up
8954252,9050,House,House,"€295,000",for sale,3,176,Installed,0,0,0,Yes,0,0,0
8954251,8780,House,House,"€229,000",for sale,3,0,0,0,0,0,0,0,0,As new
8903633,8890,House,House,"€120,000",for sale,3,90,0,0,0,0,Yes,0,0,0
8954247,9770,House,House,"€165,000",for sale,3,0,0,0,0,0,Yes,0,0,0
8803971,2840,House,House,"€305,000",for sale,3,205,0,0,0,0,Yes,0,0,0
8954240,9310,House,House,"€595,000",for sale,4,320,Installed,0,0,0,Yes,0,0,As new
8954239,9506,House,House,"€345,000",for sale,3,180,Installed,0,0,0,Yes,0,0,As new
8954238,9320,House,House,"€349,000",for sale,4,233,Installed,0,0,0,0,0,0,To be done up
8954237,9308,House,House,"€345,000",for sale,3,185,0,0,0,0,0,0,0,0
8954233,8500,House,House,"€299,000",for sale,3,150,0,0,0,0,0,0,0,0
8954231,8000,House,House,"€265,000",for sale,1,0,Installed,0,0,0,0,0,0,0
8888197,8500,House,House,"€195,000",for sale,3,160,Installed,0,0,0,0,0,0,Good
8954213,8480,House,House,"€361,940",for sale,3,160,0,0,0,0,Yes,0,0,As new
8954210,8310,House,House,"€349,900",for sale,5,237,0,0,0,0,Yes,0,0,As new
