Locality,type of property,price,area,building state,rooms,facades,kitchen type,garden,fireplace,swimming pool
8760,House,285000€,194 m²,To be done up,4,4,Installed,1,0,0
4052,House,Reserve price : 140000€,143 m²,Good,2,4,Installed,1,0,0
6940,House,160000€,230 m²,To renovate,6,2,Not specified,1,0,0
9000,House,292000€,85 m²,Just renovated,2,2,Installed,1,0,0
1745,House,650000€,312 m²,Good,4,2,Hyper equipped,1,1,0
6700,House,390000€,250 m²,Not specified,3,3,Installed,1,1,0
3200,House,235000€,260 m²,To renovate,3,4,Semi equipped,1,0,0
9000,House,383000€,135 m²,As new,3,2,Installed,1,0,0
3020,House,330000€,184 m²,Good,3,3,Installed,1,0,0
2830,House,275000€,117 m²,Good,3,1,Installed,1,0,0
8870,House,174900€,154 m²,To be done up,2,2,Semi equipped,1,0,0
4040,House,260000€,148 m²,As new,4,2,Hyper equipped,1,0,0
Not specified,House,316000€,240 m²,Good,3,3,Not specified,1,0,0
Not specified,House,240000€,130 m²,To renovate,3,2,Semi equipped,1,0,0
9600,House,145000€,105 m²,Good,3,2,Semi equipped,1,0,0
9900,House,285000€,130 m²,Just renovated,3,2,Not specified,1,0,0
3540,House,385000€,Not specified,Just renovated,2,4,Installed,1,0,0
8520,House,369000€,167 m²,Good,3,3,Installed,1,0,0
3550,House,319000€,140 m²,Good,3,4,Not specified,1,0,0
8760,House,450000€,Not specified,Good,2,4,Installed,1,0,0
Not specified,House,365000€,Not specified,Not specified,4,4,Not specified,1,0,0
Not specified,House,315000€,152 m²,Good,4,2,Installed,1,0,0
3700,House,290000€,402 m²,Good,7,2,Installed,1,0,0
9160,House,319000€,330 m²,Not specified,4,4,Not specified,1,0,0
2610,House,1585000€,429 m²,Not specified,5,4,USA hyper equipped,1,1,0
2610,House,359000€,190 m²,Not specified,3,3,Semi equipped,1,0,0
3270,House,320000€,190 m²,Not specified,3,3,Hyper equipped,1,0,0
6887,House,695000€,316 m²,Not specified,6,3,Installed,1,0,0
Not specified,House,330000€,123 m²,Not specified,3,3,Installed,1,0,0
2610,House,599000€,298 m²,Good,3,3,Hyper equipped,1,0,0
8310,House,339000€,Not specified,Not specified,3,3,Not specified,1,0,0
8930,House,197650€,Not specified,Good,3,3,Not specified,1,0,0
5060,House,275000€,Not specified,Not specified,3,3,Not specified,1,0,0
Not specified,House,125000€,113 m²,As new,3,2,Installed,1,0,0
1500,House,379000€,190 m²,To be done up,3,3,Installed,1,0,0
1501,House,379000€,190 m²,To be done up,3,3,Installed,1,0,0
Not specified,House,155000€,Not specified,Not specified,3,3,Not installed,1,0,0
3550,House,275000€,180 m²,To be done up,4,4,Installed,1,0,0
7390,House,165000€,150 m²,Not specified,4,2,Not specified,1,0,0
9790,House,450000€,124 m²,Not specified,3,4,Not specified,1,1,0
9600,House,267000€,200 m²,Not specified,3,1,Installed,1,0,0
1170,House,750000€,205 m²,Good,4,2,Hyper equipped,1,0,0
9520,House,279000€,Not specified,Just renovated,3,3,Installed,1,0,0
9050,House,275000€,176 m²,To be done up,5,2,Semi equipped,1,0,0
7870,House,80000€,230 m²,Not specified,1,2,Semi equipped,1,0,0
3461,House,No reserve price,Not specified,Not specified,1,3,Not specified,1,0,0
4671,House,179000€,129 m²,Not specified,1,3,Installed,1,0,0
4680,House,439000€,289 m²,Not specified,4,4,Installed,1,0,0
4040,House,125000€,150 m²,Not specified,1,2,Installed,1,0,0
4040,House,439000€,289 m²,Not specified,4,4,Installed,1,0,0
4020,House,287000€,233 m²,As new,4,2,Hyper equipped,1,0,0
Not specified,House,159000€,147 m²,Good,4,2,Installed,1,0,0
4050,House,545000€,Not specified,Not specified,4,4,Not specified,1,0,0
Not specified,House,312000€,185 m²,As new,3,2,Not specified,1,0,0
Not specified,House,124000€,97 m²,To renovate,2,2,Not specified,1,0,0
4300,House,260000€,179 m²,Good,4,3,Hyper equipped,1,0,0
Not specified,House,650000€,180 m²,Not specified,4,2,Installed,1,0,0
Not specified,House,415000€,225 m²,Good,6,3,Not specified,1,0,0
Not specified,House,1395000€,400 m²,Good,6,4,Hyper equipped,1,0,0
8480,House,272000€,182 m²,As new,4,2,Hyper equipped,1,0,0
9000,House,220000€,150 m²,Good,4,2,Not installed,1,0,0
9500,House,95000€,122 m²,To renovate,3,2,Not specified,1,0,0
4030,House,150000€,100 m²,As new,2,2,Installed,1,0,0
6767,House,165000€,Not specified,To be done up,3,4,Not specified,1,0,0
7971,House,130000€,Not specified,Not specified,2,4,Not specified,1,0,0
9600,House,120000€,Not specified,Not specified,3,2,Not specified,1,0,0
Not specified,House,90000€,210 m²,To renovate,3,4,Not specified,1,0,0
3720,House,325000€,164 m²,Good,5,4,Not specified,1,0,0
7012,House,90000€,90 m²,Good,2,2,Not installed,1,0,0
2850,House,225000€,125 m²,Just renovated,3,2,Installed,1,0,0
Not specified,House,219000€,180 m²,Not specified,3,3,Semi equipped,1,0,0
2470,House,298407€,152 m²,Not specified,3,4,Not specified,1,0,0
Not specified,House,327500€,185 m²,Not specified,3,3,Installed,1,0,0
2220,House,395000€,173 m²,Good,4,4,Hyper equipped,1,0,0
1050,House,1350000€,365 m²,Just renovated,5,2,USA hyper equipped,1,0,0
6031,House,159000€,106 m²,Good,3,3,Semi equipped,1,0,0
7340,House,89000€,Not specified,To be done up,2,2,Not specified,1,0,0
9200,House,247000€,138 m²,To renovate,4,3,Semi equipped,1,0,0
6637,House,Reserve price : 240000€,Not specified,Good,5,4,Not specified,1,0,0
5100,House,250000€,Not specified,Not specified,3,3,Not specified,1,0,0
6760,House,259000€,139 m²,Good,4,3,Installed,1,0,0
Not specified,House,199000€,130 m²,Good,3,3,Not specified,1,0,0
Not specified,House,115000€,312 m²,To restore,4,4,Not specified,1,0,0
1420,House,430000€,180 m²,Good,3,3,Hyper equipped,1,0,0
4260,House,Reserve price : 150000€,234 m²,Good,4,4,Not specified,1,0,0
1933,House,Reserve price : 260000€,Not specified,Not specified,2,3,Installed,1,0,0
7080,House,107500€,93 m²,Not specified,2,2,Installed,1,0,0
Not specified,House,122000€,Not specified,Not specified,3,3,Semi equipped,1,0,0
2260,House,335000€,125 m²,As new,2,3,Installed,1,0,0
4840,House,229990€,Not specified,Not specified,4,2,Not specified,1,0,0
1982,House,355000€,196 m²,Just renovated,3,4,Installed,1,0,0
2310,House,299000€,Not specified,As new,3,2,Installed,1,0,0
2300,House,345000€,Not specified,Not specified,3,2,Installed,1,0,0
9000,House,398000€,174 m²,As new,3,2,Installed,1,0,0
2550,House,999500€,620 m²,Not specified,3,4,Installed,1,0,0
