Locality,type of property,price,area,building state,rooms,facades,kitchen type,garden,fireplace,swimming pool
Not specified,House,625000€,240 m²,Good,5,4,Not specified,1,0,0
Not specified,House,219950€,210 m²,To renovate,3,4,Installed,1,0,0
8580,House,150000€,250 m²,To be done up,3,2,Semi equipped,1,0,0
8580,House,255000€,400 m²,To be done up,3,2,Semi equipped,1,0,0
9190,House,625000€,330 m²,Good,3,4,Installed,1,1,0
6600,House,145000€,Not specified,Good,3,4,Semi equipped,1,0,0
2940,House,335000€,173 m²,Good,3,3,Installed,1,0,0
Not specified,House,350000€,Not specified,Just renovated,3,4,USA hyper equipped,1,0,0
8480,House,325000€,Not specified,Not specified,3,4,Not specified,1,0,0
9500,House,269000€,Not specified,Not specified,3,4,Not specified,1,0,0
2440,House,235000€,220 m²,Not specified,3,3,Installed,1,0,0
8720,House,375000€,292 m²,Good,5,4,Installed,1,0,0
1370,House,Reserve price : 70000€,66 m²,To renovate,1,2,Not specified,1,0,0
4257,House,229000€,126 m²,Just renovated,3,3,Not specified,1,0,0
7880,House,150000€,Not specified,Not specified,3,2,Not specified,1,0,0
3201,House,Reserve price : 230000€,Not specified,Not specified,3,4,Installed,1,0,0
7012,House,98000€,98 m²,Good,3,3,Semi equipped,1,0,0
Not specified,House,399000€,225 m²,Not specified,5,3,Hyper equipped,1,1,0
8210,House,259000€,178 m²,Not specified,3,2,Semi equipped,1,0,0
7300,House,Reserve price : 85000€,126 m²,Good,3,2,Not specified,1,0,0
6810,House,450000€,290 m²,As new,5,2,Installed,1,1,0
Not specified,House,360000€,142 m²,Not specified,4,2,Installed,1,0,0
Not specified,House,137500€,155 m²,To restore,2,2,Semi equipped,1,0,0
Not specified,House,130000€,112 m²,Good,2,2,Semi equipped,1,0,0
Not specified,House,110000€,120 m²,To be done up,2,2,Semi equipped,1,0,0
Not specified,House,100000€,108 m²,To renovate,2,3,Not installed,1,0,0
Not specified,House,249500€,136 m²,Good,2,2,Hyper equipped,1,1,0
7910,House,185000€,Not specified,Good,3,4,Installed,1,0,0
6990,House,315000€,1000 m²,Good,3,4,Semi equipped,1,0,0
7618,House,200000€,138 m²,As new,3,2,Not specified,1,0,0
7618,House,270000€,184 m²,As new,3,4,Not specified,1,0,0
4050,House,249000€,176 m²,To be done up,3,4,Installed,1,1,0
Not specified,House,535000€,150 m²,Not specified,3,2,Not installed,1,0,0
8310,House,469000€,185 m²,As new,4,3,Hyper equipped,1,0,0
Not specified,House,549000€,275 m²,Good,5,3,USA hyper equipped,1,0,0
4400,House,117500€,Not specified,To be done up,3,3,Not specified,1,0,0
7520,House,130000€,211 m²,Good,4,4,Not specified,1,0,0
2100,House,Reserve price : 110000€,Not specified,Not specified,4,2,Not specified,1,0,0
1180,House,1190000€,300 m²,To be done up,5,3,Hyper equipped,1,0,0
Not specified,House,110000€,Not specified,Not specified,3,2,Not specified,1,0,0
8930,House,199000€,160 m²,Just renovated,4,2,Installed,1,0,0
8790,House,460000€,Not specified,Just renovated,3,4,Installed,1,0,0
8790,House,598000€,300 m²,As new,4,4,Installed,1,0,0
9050,House,348000€,Not specified,As new,3,2,Hyper equipped,1,0,0
7060,House,199500€,120 m²,Not specified,3,2,Installed,1,0,0
7020,House,199500€,130 m²,Not specified,4,2,Installed,1,0,0
Not specified,House,170000€,150 m²,Not specified,4,3,Installed,1,0,0
Not specified,House,299000€,166 m²,As new,3,2,Installed,1,0,0
8750,House,245000€,Not specified,Not specified,4,3,Not specified,1,0,0
4420,House,200000€,Not specified,Good,4,2,Installed,1,0,0
7500,House,40000€,Not specified,To renovate,2,2,Not specified,1,0,0
8793,House,239000€,152 m²,As new,3,2,Installed,1,0,0
6001,House,90000€,128 m²,To renovate,2,2,Not installed,1,0,0
8511,House,332500€,Not specified,Just renovated,3,4,Hyper equipped,1,0,0
Not specified,House,200000€,153 m²,To be done up,2,3,Not specified,1,0,0
2580,House,Reserve price : 460000€,Not specified,To renovate,4,4,Not specified,1,0,0
5621,House,180000€,Not specified,Not specified,4,3,Not specified,1,0,0
4821,House,300000€,212 m²,To be done up,5,4,Not specified,1,0,0
Not specified,House,425000€,190 m²,Just renovated,4,3,USA hyper equipped,1,1,0
2500,House,695000€,290 m²,Good,4,4,Installed,1,0,0
6730,House,325000€,165 m²,Not specified,3,2,Not specified,1,0,0
9100,House,Reserve price : 103000€,Not specified,Not specified,2,2,Not specified,1,0,0
4020,House,168000€,183 m²,To be done up,3,2,Not specified,1,0,0
7700,House,235000€,147 m²,Good,3,3,Installed,1,1,0
7522,House,195000€,Not specified,Good,4,2,Installed,1,0,0
8900,House,259000€,Not specified,Not specified,3,2,Installed,1,0,0
7320,House,120000€,Not specified,To restore,3,4,Not installed,1,0,0
5660,House,165000€,125 m²,Not specified,2,3,Installed,1,0,0
Not specified,House,60000€ + 743€ per month,178 m²,Good,3,4,Installed,1,1,0
7041,House,280000€,Not specified,Good,4,4,Installed,1,0,0
6120,House,Reserve price : 71700€,Not specified,Not specified,3,3,Installed,1,0,0
8730,House,Reserve price : 260000€,Not specified,Not specified,3,2,Installed,1,0,0
4820,House,470000€,Not specified,Not specified,5,4,Not specified,1,0,0
Not specified,House,75000€,Not specified,To renovate,2,2,Not specified,1,0,0
4100,House,135000€,97 m²,Good,2,2,Semi equipped,1,0,0
2940,House,259000€,160 m²,Not specified,3,1,Installed,1,0,0
6730,House,395000€,210 m²,Not specified,4,3,Not specified,1,0,0
4557,House,370076€,Not specified,As new,2,4,Not specified,1,0,0
2560,House,321100€,156 m²,Not specified,3,3,Installed,1,0,0
2560,House,305500€,120 m²,Not specified,3,3,Installed,1,0,0
2560,House,290500€,151 m²,Not specified,3,3,Installed,1,0,0
2560,House,300000€,120 m²,Not specified,3,3,Installed,1,0,0
7387,House,135000€,76 m²,Just renovated,2,3,Installed,1,0,0
8908,House,185000€,Not specified,Not specified,3,2,Installed,1,0,0
3570,House,225000€,Not specified,Not specified,3,4,Installed,1,0,0
9120,House,190000€,80 m²,To be done up,2,2,Semi equipped,1,0,0
Not specified,House,90000€,64 m²,Not specified,1,4,Hyper equipped,1,0,0
4350,House,294000€,140 m²,As new,3,3,Hyper equipped,1,0,0
9120,House,249000€,98 m²,Just renovated,2,2,Installed,1,0,0
7340,House,73500€,Not specified,Not specified,3,2,Not specified,1,0,0
3770,House,249000€,180 m²,Good,4,2,Semi equipped,1,0,0
4690,House,279000€,121 m²,Good,2,4,Not specified,1,0,0
4350,House,294000€,140 m²,As new,3,3,Hyper equipped,1,0,0
4350,House,294000€,140 m²,As new,3,3,Hyper equipped,1,0,0
8501,House,169000€,142 m²,As new,3,2,Installed,1,0,0
3270,House,225000€,Not specified,Good,3,2,Semi equipped,1,0,0
6820,House,115000€,Not specified,Not specified,3,2,Not specified,1,0,0
Not specified,House,189000€,180 m²,Not specified,4,2,Installed,1,0,0
Not specified,House,255000€,408 m²,To renovate,6,3,Not specified,1,0,0
Not specified,House,235000€,225 m²,Good,5,4,Semi equipped,1,1,0
2060,House,285000€,244 m²,Not specified,2,2,Not specified,1,0,0
9170,House,318000€,187 m²,Not specified,3,2,Not specified,1,0,0
4350,House,337000€,190 m²,As new,4,4,Hyper equipped,1,0,0
2430,House,295000€,165 m²,Not specified,3,3,Installed,1,0,0
2430,House,265000€,140 m²,Not specified,3,2,Installed,1,0,0
2430,House,265000€,137 m²,Not specified,3,2,Installed,1,0,0
2430,House,265000€,140 m²,Not specified,3,2,Installed,1,0,0
2430,House,265000€,137 m²,Not specified,3,2,Installed,1,0,0
6690,House,73000€,144 m²,To be done up,2,3,USA installed,1,0,0
8870,House,229000€,225 m²,Not specified,3,2,Not specified,1,0,0
4500,House,179500€,172 m²,To be done up,4,3,Installed,1,1,0
Not specified,House,123000€,123 m²,To be done up,2,3,Not specified,1,0,0
9032,House,299000€,158 m²,Good,3,3,Hyper equipped,1,1,0
9000,House,249500€,Not specified,Not specified,3,2,Installed,1,0,0
4100,House,135000€,Not specified,Good,3,2,Installed,1,0,0
4030,House,175000€,140 m²,Good,1,3,Semi equipped,1,0,0
2020,House,284000€,138 m²,Good,4,2,Not specified,1,0,0
Not specified,House,150000€,120 m²,As new,3,2,Hyper equipped,1,0,0
7011,House,150000€,122 m²,Good,2,3,Installed,1,0,0
Not specified,House,95000€,119 m²,To be done up,2,3,Semi equipped,1,0,0
Not specified,House,55000€,73 m²,To be done up,1,3,Not specified,1,0,0
Not specified,House,170000€,95 m²,Not specified,2,3,Not specified,1,0,0
3970,House,275000€,196 m²,Not specified,4,3,Installed,1,0,0
Not specified,House,129000€,131 m²,To renovate,3,2,Not specified,1,0,0
Not specified,House,545000€,316 m²,Good,5,3,Installed,1,0,0
Not specified,House,199000€,Not specified,Not specified,3,2,Not specified,1,0,0
4470,House,295000€,200 m²,Good,5,3,Installed,1,0,0
Not specified,House,159000€,95 m²,To renovate,3,4,Hyper equipped,1,0,0
1840,House,365000€,120 m²,Good,3,4,Installed,1,0,0
4030,House,199500€,145 m²,To be done up,3,2,Semi equipped,1,1,0
Not specified,House,30000€ + 695€ per month,153 m²,Good,4,2,Installed,1,0,0
Not specified,House,170000€,229 m²,To renovate,2,4,Semi equipped,1,0,0
7332,House,220000€,167 m²,As new,3,3,Not specified,1,0,0
Not specified,House,70000€,82 m²,Good,2,2,Not specified,1,0,0
9200,House,385000€,450 m²,As new,4,2,USA hyper equipped,1,0,0
2830,House,225000€,Not specified,To renovate,3,2,Not specified,1,0,0
7300,House,185000€,Not specified,Good,2,3,Installed,1,0,0
Not specified,House,40000€ + 490€ per month,180 m²,Good,3,2,Installed,1,0,0
6880,House,150000€,165 m²,Not specified,3,3,Installed,1,0,0
Not specified,House,175000€,138 m²,To be done up,3,2,Installed,1,0,0
Not specified,House,179000€,149 m²,Good,3,2,Not specified,1,0,0
8730,House,339000€,228 m²,Not specified,5,3,Not specified,1,0,0
8500,House,319000€,206 m²,Good,4,3,Installed,1,0,0
9080,House,599000€,180 m²,Good,4,4,Installed,1,0,0
3971,House,239000€,184 m²,To be done up,3,3,Installed,1,0,0
3380,House,265000€,158 m²,To renovate,3,4,Not installed,1,0,0
8650,House,157500€,Not specified,Not specified,2,3,Not specified,1,0,0
9060,House,199000€,146 m²,Not specified,3,4,Not specified,1,1,0
8530,House,135000€,Not specified,Good,3,2,Installed,1,0,0
6001,House,145000€,Not specified,Not specified,3,3,Not specified,1,0,0
7380,House,90000€,Not specified,Good,2,2,Installed,1,0,0
Not specified,House,250000€,210 m²,Good,4,2,Semi equipped,1,0,0
2990,House,385000€,266 m²,As new,3,4,Installed,1,1,0
8800,House,275000€,164 m²,As new,4,2,Installed,1,0,0
2060,House,285000€,244 m²,As new,2,2,Hyper equipped,1,1,0
5500,House,149000€,316 m²,Good,5,2,Installed,1,1,0
6851,House,115000€,330 m²,To renovate,4,4,Not specified,1,0,0
7100,House,100000€,Not specified,Good,2,2,Installed,1,0,0
7100,House,140000€,Not specified,To renovate,5,3,Semi equipped,1,0,0
Not specified,House,360000€,204 m²,Not specified,2,4,Installed,1,1,0
5150,House,265000€,240 m²,Just renovated,4,4,Installed,1,0,0
2910,House,Reserve price : 185000€,Not specified,Not specified,4,4,Not specified,1,0,0
8900,House,179000€,141 m²,Good,2,2,Not specified,1,0,0
Not specified,House,111000€,160 m²,To renovate,4,2,Not specified,1,0,0
2830,House,199000€,131 m²,Good,3,2,Installed,1,0,0
8900,House,179000€,Not specified,As new,2,2,Not specified,1,0,0
4540,House,250000€,140 m²,Just renovated,4,4,Hyper equipped,1,0,0
4870,House,139000€,135 m²,As new,5,2,Not installed,1,0,0
4750,House,299000€,240 m²,Good,4,4,Not specified,1,0,0
8480,House,257069€,102 m²,As new,3,2,Not specified,1,0,0
8930,House,Reserve price : 100000€,Not specified,Not specified,3,2,Installed,1,0,0
3910,House,Reserve price : 135000€,Not specified,Not specified,3,3,Not specified,1,0,0
1760,House,439000€,170 m²,Not specified,4,3,Hyper equipped,1,0,0
9990,House,225000€,120 m²,Good,2,3,Installed,1,0,0
9120,House,449000€,Not specified,Good,3,4,Not specified,1,0,0
9800,House,Reserve price : 620000€,Not specified,Not specified,5,4,Not specified,1,0,0
7540,House,145000€,Not specified,Good,3,2,Not specified,1,0,0
9200,House,278000€,160 m²,As new,2,2,USA hyper equipped,1,0,0
8480,House,254400€,126 m²,As new,3,2,Installed,1,0,0
9090,House,Reserve price : 175000€,Not specified,To be done up,3,2,Installed,1,0,0
9000,House,Reserve price : 255000€,Not specified,To be done up,4,2,Installed,1,0,0
3360,House,495000€,360 m²,Not specified,3,4,Not specified,1,0,0
4630,House,270000€,220 m²,Just renovated,4,3,Hyper equipped,1,1,0
2960,House,598000€,330 m²,As new,5,4,Installed,1,1,0
Not specified,House,300000€,301 m²,Not specified,5,4,Installed,1,0,0
3890,House,299000€,150 m²,Good,2,4,Installed,1,0,0
1300,House,275000€,Not specified,To renovate,3,4,Installed,1,0,0
9600,House,199500€,300 m²,Good,4,4,Not installed,1,0,0
4100,House,318000€,136 m²,Good,2,4,Not specified,1,0,0
8800,House,459000€,390 m²,Just renovated,3,3,Installed,1,1,0
Not specified,House,220000€,189 m²,Not specified,3,2,Installed,1,1,0
1840,House,249000€,93 m²,Good,3,2,USA semi equipped,1,0,0
3724,House,308000€,202 m²,As new,3,3,Hyper equipped,1,0,0
6880,House,109000€,140 m²,Not specified,4,3,Not specified,1,0,0
8200,House,395000€,Not specified,Not specified,4,3,Not specified,1,0,0
1600,House,258000€,100 m²,Just renovated,4,1,Installed,1,0,0
7080,House,115000€,150 m²,Good,3,3,Semi equipped,1,0,0
Not specified,House,215000€,160 m²,Good,4,2,Not specified,1,1,0
8310,House,415000€,Not specified,Not specified,5,3,Not specified,1,0,0
3540,House,245000€,Not specified,To renovate,4,4,Not specified,1,0,0
Not specified,House,375000€,184 m²,Good,3,3,Not specified,1,0,0
Not specified,House,1175000€,350 m²,Not specified,7,3,Installed,1,0,0
9990,House,360000€,Not specified,Good,3,4,Not specified,1,0,0
1730,House,399000€,220 m²,As new,4,3,Hyper equipped,1,0,0
4570,House,120000€,Not specified,To be done up,3,4,Not specified,1,0,0
5190,House,124900€,Not specified,To renovate,4,4,Not specified,1,0,0
4100,House,98000€,120 m²,To renovate,3,2,Not installed,1,0,0
9185,House,324000€,137 m²,As new,4,3,Installed,1,0,0
1790,House,395000€,270 m²,As new,3,3,Hyper equipped,1,0,0
Not specified,House,65000€,80 m²,To renovate,2,3,Installed,1,0,0
3830,House,289000€,192 m²,Good,4,3,USA hyper equipped,1,0,0
8840,House,288701€,Not specified,Not specified,3,3,Not specified,1,0,0
7100,House,115000€,106 m²,To restore,2,3,Not installed,1,0,0
5060,House,289000€,175 m²,Not specified,3,3,Not specified,1,0,0
Not specified,House,139000€,92 m²,Good,1,2,Installed,1,0,0
Not specified,House,175000€,150 m²,Good,2,3,Installed,1,0,0
3960,House,395000€,275 m²,As new,5,2,Hyper equipped,1,0,0
3630,House,279000€,Not specified,As new,4,2,Hyper equipped,1,0,0
4600,House,299000€,255 m²,Good,7,3,Not installed,1,0,0
Not specified,House,190000€,190 m²,To be done up,5,4,Not specified,1,0,0
Not specified,House,89000€,110 m²,To renovate,2,3,Not specified,1,0,0
Not specified,House,79000€,105 m²,Not specified,3,2,Not specified,1,0,0
Not specified,House,158000€,Not specified,To be done up,4,2,Not specified,1,0,0
3600,House,250000€,Not specified,Good,6,2,Installed,1,0,0
7021,House,99000€,100 m²,To be done up,3,2,Installed,1,0,0
9100,House,265000€,Not specified,As new,3,2,Not installed,1,0,0
2140,House,475000€,140 m²,As new,3,2,USA hyper equipped,1,0,0
3210,House,279000€,110 m²,Not specified,3,2,Not specified,1,0,0
2920,House,385000€,231 m²,To renovate,3,4,Semi equipped,1,0,0
8200,House,299000€,150 m²,Just renovated,4,2,Installed,1,0,0
Not specified,House,395000€,224 m²,As new,4,3,Installed,1,0,0
Not specified,House,148000€,180 m²,To be done up,3,2,Installed,1,0,0
Not specified,House,99000€,100 m²,To renovate,2,2,Not installed,1,0,0
Not specified,House,380000€,320 m²,Good,5,3,Installed,1,0,0
Not specified,House,55000€,Not specified,To renovate,1,3,Not installed,1,0,0
Not specified,House,280000€,300 m²,To renovate,10,2,Semi equipped,1,0,0
Not specified,House,395000€,244 m²,To be done up,4,4,Installed,1,0,0
7080,House,125000€,120 m²,Good,2,3,Installed,1,0,0
7331,House,115000€,129 m²,To be done up,2,3,Semi equipped,1,0,0
0474,House,135000€,120 m²,Just renovated,4,2,Not specified,1,0,0
0474,House,280000€,222 m²,Just renovated,3,3,Not specified,1,0,0
Not specified,House,242000€,115 m²,As new,3,2,Installed,1,0,0
Not specified,House,389000€,385 m²,Good,9,2,Installed,1,0,0
Not specified,House,210000€,210 m²,Just renovated,4,3,USA installed,1,0,0
4040,House,365000€,234 m²,As new,3,3,Installed,1,0,0
7110,House,135000€,120 m²,Good,4,2,Semi equipped,1,0,0
7110,House,125000€,110 m²,To be done up,2,2,Not installed,1,0,0
6660,House,340000€,442 m²,Good,5,4,Installed,1,0,0
9310,House,525000€,285 m²,Not specified,4,4,Hyper equipped,1,0,0
Not specified,House,335000€,134 m²,Not specified,3,2,USA hyper equipped,1,0,0
Not specified,House,575000€,Not specified,Not specified,5,4,Installed,1,0,0
Not specified,House,575000€,Not specified,Not specified,5,4,Installed,1,0,0
Not specified,House,320000€,155 m²,To renovate,3,2,Not installed,1,0,0
4620,House,179000€,180 m²,Good,3,4,Not installed,1,0,0
9620,House,339000€,176 m²,Just renovated,3,3,Hyper equipped,1,0,0
Not specified,House,1175000€,340 m²,To renovate,6,3,Hyper equipped,1,0,0
3210,House,399000€,260 m²,Good,3,4,Not specified,1,0,0
4000,House,157000€,105 m²,Not specified,2,3,Installed,1,0,0
9340,House,319000€,180 m²,Good,3,4,Installed,1,0,0
4160,House,169000€,277 m²,Good,5,3,Semi equipped,1,0,0
9500,House,239000€,150 m²,As new,2,2,Not specified,1,0,0
9506,House,159000€,96 m²,Good,3,4,Not specified,1,0,0
3580,House,625000€,315 m²,Not specified,5,4,Not specified,1,0,0
3950,House,385000€,240 m²,As new,5,4,Hyper equipped,1,0,0
4500,House,105000€,96 m²,To renovate,2,2,Not installed,1,0,0
4500,House,75000€,45 m²,To restore,2,3,Not installed,1,0,0
2290,House,349000€,Not specified,To be done up,3,4,Not specified,1,0,0
2600,House,539000€,289 m²,To be done up,4,3,Installed,1,0,0
Not specified,House,850000€,Not specified,As new,4,3,USA hyper equipped,1,0,0
2000,House,925000€,250 m²,Not specified,4,2,Not specified,1,0,0
1070,House,395000€,200 m²,Not specified,4,2,USA installed,1,0,0
3700,House,240000€,200 m²,Just renovated,3,3,Semi equipped,1,0,0
1785,House,315000€,180 m²,Good,3,2,Installed,1,1,0
9890,House,469000€,240 m²,Not specified,5,4,Not specified,1,0,0
9800,House,449000€,231 m²,As new,3,3,Not specified,1,0,0
7864,House,189000€,Not specified,To be done up,3,3,Not specified,1,0,0
1500,House,175000€,134 m²,Not specified,3,2,Not specified,1,0,0
1500,House,175000€,143 m²,Not specified,3,2,Not specified,1,0,0
8500,House,269000€,177 m²,As new,4,3,Installed,1,0,0
8660,House,265000€,125 m²,Good,2,2,Hyper equipped,1,0,0
8780,House,325000€,174 m²,Good,3,4,Not specified,1,0,0
8700,House,169000€,149 m²,To renovate,2,3,Not specified,1,0,0
8750,House,269500€,243 m²,Good,3,3,Not specified,1,0,0
Not specified,House,265000€,150 m²,Not specified,3,2,Hyper equipped,1,0,0
2520,House,499000€,214 m²,As new,4,4,Installed,1,1,0
2660,House,269000€,Not specified,Just renovated,4,2,Installed,1,0,0
3300,House,199000€,155 m²,To be done up,3,2,Installed,1,0,0
2460,House,325000€,180 m²,Good,4,4,Not specified,1,0,0
3680,House,268000€,125 m²,Not specified,3,4,Installed,1,0,0
3670,House,349000€,218 m²,Not specified,3,4,Installed,1,0,0
9000,House,475000€,269 m²,Good,3,2,Installed,1,0,0
9280,House,270000€,Not specified,Just renovated,3,3,USA hyper equipped,1,0,0
3053,House,365000€,150 m²,To be done up,3,3,Not specified,1,0,0
3620,House,229000€,135 m²,Good,4,3,Installed,1,1,0
9100,House,259000€,200 m²,As new,4,1,Hyper equipped,1,0,0
3930,House,238000€,133 m²,To be done up,3,4,Semi equipped,1,0,0
3960,House,309900€,131 m²,As new,3,4,Installed,1,0,0
8200,House,407000€,472 m²,Good,4,3,Installed,1,1,0
1654,House,388000€,190 m²,To be done up,4,4,Not specified,1,0,0
8430,House,247000€,Not specified,Not specified,3,2,Installed,1,0,0
9040,House,248000€,65 m²,Good,2,2,Semi equipped,1,0,0
3400,House,175000€,121 m²,Good,3,2,Installed,1,0,0
8510,House,178000€,138 m²,To restore,1,3,Semi equipped,1,0,0
3390,House,260000€,Not specified,Good,3,4,Semi equipped,1,0,0
4420,House,159000€,119 m²,Good,3,3,Semi equipped,1,0,0
9850,House,334000€,166 m²,Not specified,3,3,Installed,1,0,0
9630,House,291348€,Not specified,Not specified,3,4,Not specified,1,0,0
3201,House,465000€,293 m²,Good,3,4,Installed,1,1,0
8730,House,219000€,Not specified,Not specified,2,3,Installed,1,0,0
9700,House,228000€,Not specified,Good,3,2,Not specified,1,0,0
8480,House,479000€,Not specified,Good,4,4,Not specified,1,0,0
8600,House,192500€,Not specified,Not specified,4,4,Not specified,1,0,0
Not specified,House,290000€,140 m²,Good,3,2,Installed,1,0,0
3520,House,249000€,125 m²,Good,2,3,Installed,1,0,0
3550,House,499000€,187 m²,To be done up,3,4,Installed,1,0,0
3582,House,325000€,164 m²,Good,3,4,Installed,1,0,0
3650,House,229000€,142 m²,Good,3,3,Not specified,1,0,0
3680,House,265000€,281 m²,Good,3,4,Installed,1,0,0
2180,House,369000€,170 m²,Good,5,3,Installed,1,0,0
9700,House,240000€,165 m²,To renovate,3,2,Semi equipped,1,0,0
8660,House,220000€,159 m²,Good,4,2,Not specified,1,0,0
2223,House,749000€,648 m²,Good,5,4,Not specified,1,0,0
9000,House,194000€,47 m²,Good,1,2,Not specified,1,0,0
9990,House,390000€,162 m²,Good,3,4,Installed,1,0,0
Not specified,House,334000€,175 m²,Good,3,2,Not specified,1,0,0
Not specified,House,168000€,177 m²,Good,4,2,Not specified,1,0,0
Not specified,House,485000€,155 m²,Good,3,2,Installed,1,0,0
1547,House,248826€,146 m²,Not specified,4,3,Not specified,1,0,0
2520,House,469500€,203 m²,Not specified,3,3,Hyper equipped,1,0,0
Not specified,House,645000€,300 m²,Good,4,4,USA hyper equipped,1,0,0
3110,House,575000€,190 m²,Good,4,4,Not specified,1,0,0
2100,House,339900€,136 m²,Just renovated,3,2,Installed,1,0,0
7800,House,450000€,300 m²,Good,5,4,Installed,1,0,0
Not specified,House,335000€,145 m²,Good,4,3,Not specified,1,0,0
6630,House,349000€,180 m²,Just renovated,3,3,Hyper equipped,1,0,0
2860,House,287000€,140 m²,Good,4,1,Installed,1,0,0
Not specified,House,190000€,153 m²,Not specified,3,2,USA installed,1,0,0
Not specified,House,555000€,230 m²,To renovate,4,4,Not installed,1,0,0
2800,House,309000€,143 m²,Just renovated,2,1,Installed,1,0,0
4040,House,172500€,Not specified,To be done up,3,2,Not specified,1,0,0
1080,House,399000€,155 m²,Not specified,4,2,USA hyper equipped,1,0,0
Not specified,House,200000€,161 m²,Good,4,2,Installed,1,0,0
Not specified,House,258000€,180 m²,Not specified,3,4,Installed,1,0,0
6043,House,35000€,70 m²,To renovate,2,3,Not specified,1,0,0
9700,House,195000€,150 m²,To renovate,3,4,Semi equipped,1,0,0
Not specified,House,219000€,130 m²,Not specified,3,3,Hyper equipped,1,0,0
2547,House,458500€,210 m²,Good,4,3,Installed,1,0,0
Not specified,House,135000€,152 m²,Not specified,3,4,Installed,1,1,0
8501,House,295000€,192 m²,Not specified,4,2,Installed,1,0,0
1830,House,449000€,Not specified,Good,3,3,Installed,1,0,0
2370,House,267000€,170 m²,To renovate,3,3,Installed,1,0,0
1800,House,349000€,177 m²,Good,3,2,Installed,1,0,0
Not specified,House,65000€,68 m²,Not specified,2,2,Not specified,1,0,0
4610,House,105000€,Not specified,To be done up,3,3,Not specified,1,0,0
9320,House,278000€,195 m²,Just renovated,3,3,Hyper equipped,1,0,0
Not specified,House,379000€,240 m²,Good,4,4,Installed,1,0,0
Not specified,House,375000€,Not specified,As new,3,3,Hyper equipped,1,0,0
2820,House,379000€,187 m²,To be done up,3,3,Not specified,1,0,0
Not specified,House,349000€,170 m²,Not specified,4,2,Hyper equipped,1,0,0
7070,House,105000€,107 m²,Good,2,2,Installed,1,0,0
1150,House,1175000€,350 m²,To be done up,6,3,Installed,1,0,0
2140,House,320000€,150 m²,Good,4,2,Semi equipped,1,0,0
9620,House,265000€,131 m²,As new,2,4,Not specified,1,0,0
9630,House,230000€,100 m²,Not specified,3,4,Not specified,1,0,0
7334,House,245000€,Not specified,As new,4,3,Installed,1,0,0
4030,House,139000€,120 m²,Good,3,2,Semi equipped,1,0,0
8000,House,415000€,115 m²,As new,3,2,Installed,1,0,0
7334,House,230000€,Not specified,As new,3,2,Installed,1,0,0
7334,House,220000€,Not specified,As new,3,3,Installed,1,0,0
Not specified,House,215000€,132 m²,Not specified,2,3,Not specified,1,0,0
9930,House,Reserve price : 400000€,Not specified,Not specified,3,4,Not specified,1,0,0
5620,House,Reserve price : 15000€,Not specified,Not specified,1,2,Not specified,1,0,0
7012,House,89000€,78 m²,Just renovated,2,2,Not specified,1,0,0
5537,House,180000€,Not specified,To be done up,5,4,Not specified,1,0,0
Not specified,House,89000€,93 m²,Good,2,2,Not installed,1,0,0
Not specified,House,299000€,370 m²,Not specified,2,4,Installed,1,0,0
Not specified,House,89000€,93 m²,Good,2,2,Not installed,1,0,0
Not specified,House,299000€,370 m²,Not specified,2,4,Installed,1,0,0
7730,House,130000€,99 m²,Good,3,3,Not specified,1,0,0
6032,House,225000€,218 m²,To renovate,3,3,Not specified,1,0,0
5660,House,75000€,Not specified,Not specified,2,2,Not specified,1,0,0
5660,House,75000€,Not specified,Not specified,1,3,Not specified,1,0,0
Not specified,House,95000€,Not specified,To be done up,2,3,Not specified,1,0,0
8800,House,225000€,Not specified,Good,3,4,Not specified,1,0,0
8800,House,275000€,200 m²,Just renovated,4,2,Installed,1,0,0
2660,House,448500€,203 m²,As new,5,2,Installed,1,0,0
8530,House,275000€,163 m²,Not specified,5,2,Installed,1,0,0
9870,House,259000€,140 m²,Good,3,3,Installed,1,0,0
4400,House,320000€,125 m²,Not specified,3,3,Installed,1,0,0
8480,House,219000€,Not specified,Good,3,4,Not specified,1,0,0
6990,House,149000€,125 m²,Good,3,4,Installed,1,0,0
9700,House,375000€,Not specified,Not specified,3,2,Installed,1,0,0
9000,House,299000€,125 m²,Just renovated,2,2,Installed,1,0,0
1180,House,1250000€,200 m²,Not specified,3,3,Hyper equipped,1,1,0
5590,House,242000€,158 m²,As new,3,3,Installed,1,0,0
9990,House,199000€,440 m²,To renovate,4,2,Semi equipped,1,0,0
8710,House,208067€,97 m²,Good,2,2,Semi equipped,1,0,0
5000,House,Reserve price : 140000€,Not specified,Not specified,4,2,Not specified,1,0,0
5590,House,244000€,158 m²,Not specified,3,3,Installed,1,0,0
4300,House,300000€,140 m²,Just renovated,3,3,USA hyper equipped,1,0,0
3840,House,258000€,Not specified,Not specified,3,3,Installed,1,0,0
3870,House,249000€,142 m²,Just renovated,1,3,Installed,1,0,0
8500,House,219000€,184 m²,To be done up,4,3,Semi equipped,1,0,0
5020,House,349000€,150 m²,As new,3,4,Installed,1,0,0
9040,House,370000€,Not specified,To be done up,4,2,Not specified,1,0,0
1950,House,950000€,205 m²,As new,4,3,Not specified,1,0,0
9401,House,475000€,190 m²,As new,3,4,Not specified,1,0,0
4420,House,189000€,Not specified,As new,3,3,Semi equipped,1,0,0
